pl_name,hostname,pl_letter,sy_pnum,soltype,default_flag,pl_refname,pl_pubdate,pl_orbper,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassprov,disc_year,discoverymethod,sy_dist
"11 Com b","11 Com","b",1,"Published Confirmed",0,"<a refstr=LIU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...672..553L/abstract target=ref> Liu et al. 2008 </a>","2008-01",326.03000000000,,,,,6165.60000000,476.70000000,-476.70000000,0,"Msini",2007,"Radial Velocity",93.18460000
"11 Com b","11 Com","b",1,"Published Confirmed",0,"<a refstr=KUNITOMO_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...737...66K/abstract target=ref> Kunitomo et al. 2011</a>","2011-08",,,,,,5434.70000000,540.30000000,-413.20000000,0,"Msini",2007,"Radial Velocity",93.18460000
"11 Com b","11 Com","b",1,"Published Confirmed",1,"<a refstr=TENG_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023PASJ...75.1030T/abstract target=ref>Teng et al. 2023</a>","2023-12",323.21000000000,,,,,4914.89848585,39.09289406,-39.72855088,0,"Msini",2007,"Radial Velocity",93.18460000
"11 UMi b","11 UMi","b",1,"Published Confirmed",0,"<a refstr=DOLLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...505.1311D/abstract target=ref> Dollinger et al. 2009 </a>","2009-10",516.22000000000,,,,,3337.07000000,785.01000000,-785.01000000,0,"Msini",2009,"Radial Velocity",125.32100000
"11 UMi b","11 UMi","b",1,"Published Confirmed",0,"<a refstr=KUNITOMO_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...737...66K/abstract target=ref> Kunitomo et al. 2011</a>","2011-08",,,,,,3432.40000000,381.40000000,-413.20000000,0,"Msini",2009,"Radial Velocity",125.32100000
"11 UMi b","11 UMi","b",1,"Published Confirmed",1,"<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>","2017-03",516.21997000000,,,,,4684.81420000,794.57500000,-794.57500000,0,"Msini",2009,"Radial Velocity",125.32100000
"14 And b","14 And","b",1,"Published Confirmed",0,"<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>","2008-12",185.84000000000,,,,,1525.50000000,,,0,"Msini",2008,"Radial Velocity",75.43920000
"14 And b","14 And","b",1,"Published Confirmed",0,"<a refstr=KUNITOMO_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...737...66K/abstract target=ref> Kunitomo et al. 2011</a>","2011-08",,,,,,1017.00000000,127.10000000,-190.70000000,0,"Msini",2008,"Radial Velocity",75.43920000
"14 And b","14 And","b",1,"Published Confirmed",1,"<a refstr=TENG_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023PASJ...75.1030T/abstract target=ref>Teng et al. 2023</a>","2023-12",186.76000000000,,,,,1131.15130051,36.23243840,-38.77506565,0,"Msini",2008,"Radial Velocity",75.43920000
"14 Her b","14 Her","b",2,"Published Confirmed",0,"<a refstr=BUTLER_ET_AL__2003 href=https://ui.adsabs.harvard.edu/abs/2003ApJ...582..455B/abstract target=ref> Butler et al. 2003 </a>","2003-01",1724.00000000000,,,,,1554.12000000,,,0,"Msini",2002,"Radial Velocity",17.93230000
