"Balancing Authority","Local Time at End of Hour","UTC Time at End of Hour","Demand Forecast (MW)","Demand (MW)","Net Generation (MW)","Total Interchange (MW)","Sum(Valid DIBAs) (MW)","Demand (MW) (Imputed)","Net Generation (MW) (Imputed)","Total Interchange (MW) (Imputed)","Demand (MW) (Adjusted)","Net Generation (MW) (Adjusted)","Total Interchange (MW) (Adjusted)","Region"
AECI,05/18/2025 7:00:00 PM,05/19/2025 12:00:00 AM,2383,2406,2421,15,15,,,,2406,2421,15,MIDW
AECI,05/18/2025 8:00:00 PM,05/19/2025 1:00:00 AM,2320,2356,2503,147,147,,,,2356,2503,147,MIDW
AECI,05/18/2025 9:00:00 PM,05/19/2025 2:00:00 AM,2270,2320,2638,318,318,,,,2320,2638,318,MIDW
AECI,05/18/2025 10:00:00 PM,05/19/2025 3:00:00 AM,2183,2233,2540,307,307,,,,2233,2540,307,MIDW
AECI,05/18/2025 11:00:00 PM,05/19/2025 4:00:00 AM,1993,2028,2341,313,313,,,,2028,2341,313,MIDW
AECI,05/19/2025 12:00:00 AM,05/19/2025 5:00:00 AM,1779,1824,2082,258,258,,,,1824,2082,258,MIDW
AECI,05/19/2025 1:00:00 AM,05/19/2025 6:00:00 AM,1632,1699,1784,85,85,,,,1699,1784,85,MIDW
AECI,05/19/2025 2:00:00 AM,05/19/2025 7:00:00 AM,1552,1624,1617,-7,-7,,,,1624,1617,-7,MIDW
AECI,05/19/2025 3:00:00 AM,05/19/2025 8:00:00 AM,1518,1540,1587,47,47,,,,1540,1587,47,MIDW
AECI,05/19/2025 4:00:00 AM,05/19/2025 9:00:00 AM,1503,1529,1479,-50,-50,,,,1529,1479,-50,MIDW
AECI,05/19/2025 5:00:00 AM,05/19/2025 10:00:00 AM,1523,1548,1464,-84,-84,,,,1548,1464,-84,MIDW
AECI,05/19/2025 6:00:00 AM,05/19/2025 11:00:00 AM,1617,1665,1634,-31,-31,,,,1665,1634,-31,MIDW
AECI,05/19/2025 7:00:00 AM,05/19/2025 12:00:00 PM,1791,1852,1822,-30,-30,,,,1852,1822,-30,MIDW
AECI,05/19/2025 8:00:00 AM,05/19/2025 1:00:00 PM,1898,1975,1979,4,4,,,,1975,1979,4,MIDW
AECI,05/19/2025 9:00:00 AM,05/19/2025 2:00:00 PM,1975,2015,2012,-3,-3,,,,2015,2012,-3,MIDW
