"Balancing Authority","Directly Interconnected Balancing Authority","Interchange (MW)","UTC Time at End of Hour","DIBA_Region"
AECI,MISO,654,05/19/2025 12:00:00 AM,MIDW
AECI,SPA,-165,05/19/2025 12:00:00 AM,CENT
AECI,SWPP,-730,05/19/2025 12:00:00 AM,CENT
AECI,TVA,256,05/19/2025 12:00:00 AM,TEN
AECI,MISO,804,05/19/2025 1:00:00 AM,MIDW
AECI,SPA,-173,05/19/2025 1:00:00 AM,CENT
AECI,SWPP,-754,05/19/2025 1:00:00 AM,CENT
AECI,TVA,270,05/19/2025 1:00:00 AM,TEN
AECI,MISO,837,05/19/2025 2:00:00 AM,MIDW
AECI,SPA,-60,05/19/2025 2:00:00 AM,CENT
AECI,SWPP,-743,05/19/2025 2:00:00 AM,CENT
AECI,TVA,284,05/19/2025 2:00:00 AM,TEN
AECI,MISO,816,05/19/2025 3:00:00 AM,MIDW
AECI,SPA,31,05/19/2025 3:00:00 AM,CENT
AECI,SWPP,-817,05/19/2025 3:00:00 AM,CENT
AECI,TVA,277,05/19/2025 3:00:00 AM,TEN
AECI,MISO,543,05/19/2025 4:00:00 AM,MIDW
AECI,SPA,185,05/19/2025 4:00:00 AM,CENT
AECI,SWPP,-669,05/19/2025 4:00:00 AM,CENT
AECI,TVA,254,05/19/2025 4:00:00 AM,TEN
AECI,MISO,451,05/19/2025 5:00:00 AM,MIDW
AECI,SPA,242,05/19/2025 5:00:00 AM,CENT
AECI,SWPP,-670,05/19/2025 5:00:00 AM,CENT
AECI,TVA,235,05/19/2025 5:00:00 AM,TEN
AECI,MISO,274,05/19/2025 6:00:00 AM,MIDW
AECI,SPA,304,05/19/2025 6:00:00 AM,CENT
AECI,SWPP,-699,05/19/2025 6:00:00 AM,CENT
AECI,TVA,206,05/19/2025 6:00:00 AM,TEN
AECI,MISO,179,05/19/2025 7:00:00 AM,MIDW
AECI,SPA,295,05/19/2025 7:00:00 AM,CENT
AECI,SWPP,-649,05/19/2025 7:00:00 AM,CENT
AECI,TVA,168,05/19/2025 7:00:00 AM,TEN
AECI,MISO,190,05/19/2025 8:00:00 AM,MIDW
AECI,SPA,248,05/19/2025 8:00:00 AM,CENT
AECI,SWPP,-548,05/19/2025 8:00:00 AM,CENT
AECI,TVA,157,05/19/2025 8:00:00 AM,TEN
AECI,MISO,217,05/19/2025 9:00:00 AM,MIDW
AECI,SPA,182,05/19/2025 9:00:00 AM,CENT
AECI,SWPP,-606,05/19/2025 9:00:00 AM,CENT
AECI,TVA,157,05/19/2025 9:00:00 AM,TEN
AECI,MISO,283,05/19/2025 10:00:00 AM,MIDW
AECI,SPA,191,05/19/2025 10:00:00 AM,CENT
AECI,SWPP,-728,05/19/2025 10:00:00 AM,CENT
AECI,TVA,170,05/19/2025 10:00:00 AM,TEN
AECI,MISO,182,05/19/2025 11:00:00 AM,MIDW
AECI,SPA,208,05/19/2025 11:00:00 AM,CENT
AECI,SWPP,-589,05/19/2025 11:00:00 AM,CENT
AECI,TVA,168,05/19/2025 11:00:00 AM,TEN
AECI,MISO,154,05/19/2025 12:00:00 PM,MIDW
AECI,SPA,172,05/19/2025 12:00:00 PM,CENT
AECI,SWPP,-533,05/19/2025 12:00:00 PM,CENT
AECI,TVA,177,05/19/2025 12:00:00 PM,TEN
AECI,MISO,239,05/19/2025 1:00:00 PM,MIDW
AECI,SPA,128,05/19/2025 1:00:00 PM,CENT
AECI,SWPP,-559,05/19/2025 1:00:00 PM,CENT
AECI,TVA,196,05/19/2025 1:00:00 PM,TEN
AECI,MISO,219,05/19/2025 2:00:00 PM,MIDW
AECI,SPA,34,05/19/2025 2:00:00 PM,CENT
AECI,SWPP,-456,05/19/2025 2:00:00 PM,CENT
AECI,TVA,200,05/19/2025 2:00:00 PM,TEN
AECI,MISO,-5,05/19/2025 3:00:00 PM,MIDW
AECI,SPA,121,05/19/2025 3:00:00 PM,CENT
AECI,SWPP,-487,05/19/2025 3:00:00 PM,CENT
AECI,TVA,212,05/19/2025 3:00:00 PM,TEN
AECI,MISO,16,05/19/2025 4:00:00 PM,MIDW
AECI,SPA,58,05/19/2025 4:00:00 PM,CENT
AECI,SWPP,-373,05/19/2025 4:00:00 PM,CENT
AECI,TVA,231,05/19/2025 4:00:00 PM,TEN
AECI,MISO,-90,05/19/2025 5:00:00 PM,MIDW
AECI,SPA,67,05/19/2025 5:00:00 PM,CENT
AECI,SWPP,-452,05/19/2025 5:00:00 PM,CENT
AECI,TVA,208,05/19/2025 5:00:00 PM,TEN
AECI,MISO,-120,05/19/2025 6:00:00 PM,MIDW
AECI,SPA,84,05/19/2025 6:00:00 PM,CENT
AECI,SWPP,-473,05/19/2025 6:00:00 PM,CENT
AECI,TVA,211,05/19/2025 6:00:00 PM,TEN
AECI,MISO,-76,05/19/2025 7:00:00 PM,MIDW
AECI,SPA,63,05/19/2025 7:00:00 PM,CENT
AECI,SWPP,-472,05/19/2025 7:00:00 PM,CENT
AECI,TVA,234,05/19/2025 7:00:00 PM,TEN
AECI,MISO,140,05/19/2025 8:00:00 PM,MIDW
AECI,SPA,-17,05/19/2025 8:00:00 PM,CENT
AECI,SWPP,-432,05/19/2025 8:00:00 PM,CENT
AECI,TVA,260,05/19/2025 8:00:00 PM,TEN
AECI,MISO,170,05/19/2025 9:00:00 PM,MIDW
AECI,SPA,-137,05/19/2025 9:00:00 PM,CENT
AECI,SWPP,-364,05/19/2025 9:00:00 PM,CENT
AECI,TVA,257,05/19/2025 9:00:00 PM,TEN
AECI,MISO,422,05/19/2025 10:00:00 PM,MIDW
AECI,SPA,-150,05/19/2025 10:00:00 PM,CENT
AECI,SWPP,-369,05/19/2025 10:00:00 PM,CENT
AECI,TVA,275,05/19/2025 10:00:00 PM,TEN
AECI,MISO,595,05/19/2025 11:00:00 PM,MIDW
AECI,SPA,-152,05/19/2025 11:00:00 PM,CENT
AECI,SWPP,-439,05/19/2025 11:00:00 PM,CENT
AECI,TVA,286,05/19/2025 11:00:00 PM,TEN
AECI,MISO,747,05/20/2025 12:00:00 AM,MIDW
AECI,SPA,-187,05/20/2025 12:00:00 AM,CENT
AECI,SWPP,-541,05/20/2025 12:00:00 AM,CENT
AECI,TVA,289,05/20/2025 12:00:00 AM,TEN
AECI,MISO,789,05/20/2025 1:00:00 AM,MIDW
AECI,SPA,-207,05/20/2025 1:00:00 AM,CENT
AECI,SWPP,-620,05/20/2025 1:00:00 AM,CENT
