disease,cases_total,jurisdictions_reporting,weeks_reporting
"Arboviral diseases, West Nile virus disease",162,16,34
"Candida auris, clinical",3674,23,86
"Carbapenemase-Producing Organisms (CPO), Total",6128,26,86
Cryptosporidiosis,7964,50,86
Giardiasis,11796,45,86
Gonorrhea,344694,52,86
"Hepatitis A, Confirmed",572,32,85
"Hepatitis B, chronic, Confirmed",18856,42,86
"Hepatitis C, acute, Confirmed",2476,35,86
Legionellosis,5380,49,86
"Measles, Imported",53,17,36
"Measles, Indigenous",1751,29,77
Mumps,141,19,63
Pertussis,11751,45,86
Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection),43989,51,86
