states,year,week,label,m1,m1_flag,m2,m2_flag,m3,m3_flag,m4,m4_flag,location1,location2,lon,lat
U.S. Residents,2025,1,"Arboviral diseases, West Nile virus disease",,-,140.0,,,-,,-,,U.S. Residents,,
New England,2025,1,"Arboviral diseases, West Nile virus disease",,-,8.0,,,-,,-,,New England,,
Connecticut,2025,1,"Arboviral diseases, West Nile virus disease",,-,2.0,,,-,,-,Connecticut,,-72.67398,41.76381
Maine,2025,1,"Arboviral diseases, West Nile virus disease",,-,1.0,,,-,,-,Maine,,-69.77631,44.31804
Massachusetts,2025,1,"Arboviral diseases, West Nile virus disease",,-,5.0,,,-,,-,Massachusetts,,-71.05675,42.35866
New Hampshire,2025,1,"Arboviral diseases, West Nile virus disease",,-,1.0,,,-,,-,New Hampshire,,-71.53661,43.20725
Rhode Island,2025,1,"Arboviral diseases, West Nile virus disease",,-,2.0,,,-,,-,Rhode Island,,-71.41198,41.82388
Vermont,2025,1,"Arboviral diseases, West Nile virus disease",,-,1.0,,,-,,-,Vermont,,-72.57627,44.26029
Middle Atlantic,2025,1,"Arboviral diseases, West Nile virus disease",,-,24.0,,,-,,-,,Middle Atlantic,,
New Jersey,2025,1,"Arboviral diseases, West Nile virus disease",,-,9.0,,,-,,-,New Jersey,,-74.75943,40.21788
New York,2025,1,"Arboviral diseases, West Nile virus disease",,-,9.0,,,-,,-,New York,,-73.75522,42.65155
New York City,2025,1,"Arboviral diseases, West Nile virus disease",,-,7.0,,,-,,-,New York City,,-73.75522,42.65155
Pennsylvania,2025,1,"Arboviral diseases, West Nile virus disease",,-,9.0,,,-,,-,Pennsylvania,,-76.88224,40.25986
East North Central,2025,1,"Arboviral diseases, West Nile virus disease",,-,20.0,,,-,,-,,East North Central,,
Illinois,2025,1,"Arboviral diseases, West Nile virus disease",,-,9.0,,,-,,-,Illinois,,-89.64361,39.8013
Indiana,2025,1,"Arboviral diseases, West Nile virus disease",,-,2.0,,,-,,-,Indiana,,-86.15013,39.76691
Michigan,2025,1,"Arboviral diseases, West Nile virus disease",,-,9.0,,,-,,-,Michigan,,-84.55226,42.73194
Ohio,2025,1,"Arboviral diseases, West Nile virus disease",,-,4.0,,,-,,-,Ohio,,-83.00276,39.96199
Wisconsin,2025,1,"Arboviral diseases, West Nile virus disease",,-,5.0,,,-,,-,Wisconsin,,-89.38645,43.07313
West North Central,2025,1,"Arboviral diseases, West Nile virus disease",,-,29.0,,,-,,-,,West North Central,,
Iowa,2025,1,"Arboviral diseases, West Nile virus disease",,-,4.0,,,-,,-,Iowa,,-93.61539,41.58981
Kansas,2025,1,"Arboviral diseases, West Nile virus disease",,-,5.0,,,-,,-,Kansas,,-95.67119,39.04931
Minnesota,2025,1,"Arboviral diseases, West Nile virus disease",,-,3.0,,,-,,-,Minnesota,,-93.09649,44.94339
Missouri,2025,1,"Arboviral diseases, West Nile virus disease",,-,2.0,,,-,,-,Missouri,,-92.17785,38.57751
Nebraska,2025,1,"Arboviral diseases, West Nile virus disease",,-,18.0,,,-,,-,Nebraska,,-96.70731,40.81362
North Dakota,2025,1,"Arboviral diseases, West Nile virus disease",,-,8.0,,,-,,-,North Dakota,,-100.7797,46.80536
South Dakota,2025,1,"Arboviral diseases, West Nile virus disease",,-,4.0,,,-,,-,South Dakota,,-100.34987,44.36917
South Atlantic,2025,1,"Arboviral diseases, West Nile virus disease",,-,16.0,,,-,,-,,South Atlantic,-100.34987,44.36917
Delaware,2025,1,"Arboviral diseases, West Nile virus disease",,-,1.0,,,-,,-,Delaware,,-75.52474,39.15803
District of Columbia,2025,1,"Arboviral diseases, West Nile virus disease",,-,1.0,,,-,,-,District of Columbia,,,
Florida,2025,1,"Arboviral diseases, West Nile virus disease",,-,3.0,,,-,,-,Florida,,-84.28065,30.43977
Georgia,2025,1,"Arboviral diseases, West Nile virus disease",,-,10.0,,,-,,-,Georgia,,-84.39111,33.74831
Maryland,2025,1,"Arboviral diseases, West Nile virus disease",,-,5.0,,,-,,-,Maryland,,-76.49015,38.97678
North Carolina,2025,1,"Arboviral diseases, West Nile virus disease",,-,3.0,,,-,,-,North Carolina,,-78.6427,35.78547
South Carolina,2025,1,"Arboviral diseases, West Nile virus disease",,-,1.0,,,-,,-,South Carolina,,-81.04537,33.99882
Virginia,2025,1,"Arboviral diseases, West Nile virus disease",,-,3.0,,,-,,-,Virginia,,-77.43367,37.54068
West Virginia,2025,1,"Arboviral diseases, West Nile virus disease",,-,1.0,,,-,,-,West Virginia,,-81.63896,38.35016
East South Central,2025,1,"Arboviral diseases, West Nile virus disease",,-,12.0,,,-,,-,,East South Central,,
Alabama,2025,1,"Arboviral diseases, West Nile virus disease",,-,10.0,,,-,,-,Alabama,,-86.30006,32.38015
Kentucky,2025,1,"Arboviral diseases, West Nile virus disease",,-,2.0,,,-,,-,Kentucky,,-84.8787,38.19507
Mississippi,2025,1,"Arboviral diseases, West Nile virus disease",,-,7.0,,,-,,-,Mississippi,,-90.18045,32.29896
Tennessee,2025,1,"Arboviral diseases, West Nile virus disease",,-,2.0,,,-,,-,Tennessee,,-86.77817,36.16784
West South Central,2025,1,"Arboviral diseases, West Nile virus disease",,-,33.0,,,-,,-,,West South Central,,
Arkansas,2025,1,"Arboviral diseases, West Nile virus disease",,-,2.0,,,-,,-,Arkansas,,-92.27486,34.7487
Louisiana,2025,1,"Arboviral diseases, West Nile virus disease",,-,5.0,,,-,,-,Louisiana,,-91.18665,30.44335
Oklahoma,2025,1,"Arboviral diseases, West Nile virus disease",,-,7.0,,,-,,-,Oklahoma,,-97.52107,35.47203
Texas,2025,1,"Arboviral diseases, West Nile virus disease",,-,27.0,,,-,,-,Texas,,-97.743,30.26759
Mountain,2025,1,"Arboviral diseases, West Nile virus disease",,-,23.0,,,-,,-,,Mountain,,
Arizona,2025,1,"Arboviral diseases, West Nile virus disease",,-,5.0,,,-,,-,Arizona,,-112.07581,33.44825
Colorado,2025,1,"Arboviral diseases, West Nile virus disease",,-,10.0,,,-,,-,Colorado,,-104.99203,39.74001
Idaho,2025,1,"Arboviral diseases, West Nile virus disease",,-,2.0,,,-,,-,Idaho,,-116.19341,43.60764
Montana,2025,1,"Arboviral diseases, West Nile virus disease",,-,3.0,,,-,,-,Montana,,-112.02066,46.58976
Nevada,2025,1,"Arboviral diseases, West Nile virus disease",,-,6.0,,,-,,-,Nevada,,-119.76698,39.16505
New Mexico,2025,1,"Arboviral diseases, West Nile virus disease",,-,5.0,,,-,,-,New Mexico,,-105.93825,35.69177
Utah,2025,1,"Arboviral diseases, West Nile virus disease",,-,4.0,,,-,,-,Utah,,-111.88822,40.76031
Wyoming,2025,1,"Arboviral diseases, West Nile virus disease",,-,1.0,,,-,,-,Wyoming,,-104.82155,41.13481
Pacific,2025,1,"Arboviral diseases, West Nile virus disease",,-,15.0,,,-,,-,,Pacific,,
Alaska,2025,1,"Arboviral diseases, West Nile virus disease",,-,0.0,,,-,,-,Alaska,,-134.4068,58.29973
California,2025,1,"Arboviral diseases, West Nile virus disease",,-,15.0,,,-,,-,California,,-121.49086,38.57944
Hawaii,2025,1,"Arboviral diseases, West Nile virus disease",,-,1.0,,,-,,-,Hawaii,,-157.85788,21.30493
Oregon,2025,1,"Arboviral diseases, West Nile virus disease",,-,0.0,,,-,,-,Oregon,,-123.04382,44.93326
Washington,2025,1,"Arboviral diseases, West Nile virus disease",,-,1.0,,,-,,-,Washington,,-122.89167,47.03956
U.S. Territories,2025,1,"Arboviral diseases, West Nile virus disease",,-,0.0,,,-,,-,,U.S. Territories,,
American Samoa,2025,1,"Arboviral diseases, West Nile virus disease",,-,0.0,,,-,,-,American Samoa,,,
Commonwealth of Northern Mariana Islands,2025,1,"Arboviral diseases, West Nile virus disease",,-,0.0,,,-,,-,Commonwealth of Northern Mariana Islands,,,
Guam,2025,1,"Arboviral diseases, West Nile virus disease",,-,0.0,,,-,,-,Guam,,,
Puerto Rico,2025,1,"Arboviral diseases, West Nile virus disease",,-,0.0,,,-,,-,Puerto Rico,,-66.11692,18.46536
U.S. Virgin Islands,2025,1,"Arboviral diseases, West Nile virus disease",,-,0.0,,,-,,-,U.S. Virgin Islands,,,
Non-U.S. Residents,2025,1,"Arboviral diseases, West Nile virus disease",,-,0.0,,,-,,-,,Non-U.S. Residents,,
Total,2025,1,"Arboviral diseases, West Nile virus disease",,-,140.0,,,-,,-,,Total,,
U.S. Residents,2025,1,"Candida auris, clinical",34.0,,195.0,,34.0,,84.0,,,U.S. Residents,,
New England,2025,1,"Candida auris, clinical",,-,0.0,,,-,,-,,New England,,
Connecticut,2025,1,"Candida auris, clinical",,-,0.0,,,-,,-,Connecticut,,-72.67398,41.76381
Maine,2025,1,"Candida auris, clinical",,-,0.0,,,-,,-,Maine,,-69.77631,44.31804
Massachusetts,2025,1,"Candida auris, clinical",,-,0.0,,,-,,-,Massachusetts,,-71.05675,42.35866
New Hampshire,2025,1,"Candida auris, clinical",,-,0.0,,,-,,-,New Hampshire,,-71.53661,43.20725
Rhode Island,2025,1,"Candida auris, clinical",,-,0.0,,,-,,-,Rhode Island,,-71.41198,41.82388
Vermont,2025,1,"Candida auris, clinical",,-,0.0,,,-,,-,Vermont,,-72.57627,44.26029
Middle Atlantic,2025,1,"Candida auris, clinical",1.0,,17.0,,1.0,,5.0,,,Middle Atlantic,,
New Jersey,2025,1,"Candida auris, clinical",,-,0.0,,,-,,-,New Jersey,,-74.75943,40.21788
New York,2025,1,"Candida auris, clinical",,-,0.0,,,-,,-,New York,,-73.75522,42.65155
New York City,2025,1,"Candida auris, clinical",,-,0.0,,,-,,-,New York City,,-73.75522,42.65155
Pennsylvania,2025,1,"Candida auris, clinical",1.0,,17.0,,1.0,,5.0,,Pennsylvania,,-76.88224,40.25986
East North Central,2025,1,"Candida auris, clinical",6.0,,32.0,,6.0,,19.0,,,East North Central,,
Illinois,2025,1,"Candida auris, clinical",,-,10.0,,,-,,-,Illinois,,-89.64361,39.8013
Indiana,2025,1,"Candida auris, clinical",2.0,,10.0,,2.0,,4.0,,Indiana,,-86.15013,39.76691
Michigan,2025,1,"Candida auris, clinical",,-,8.0,,,-,3.0,,Michigan,,-84.55226,42.73194
Ohio,2025,1,"Candida auris, clinical",4.0,,24.0,,4.0,,12.0,,Ohio,,-83.00276,39.96199
Wisconsin,2025,1,"Candida auris, clinical",,-,1.0,,,-,,-,Wisconsin,,-89.38645,43.07313
West North Central,2025,1,"Candida auris, clinical",,-,3.0,,,-,1.0,,,West North Central,,
Iowa,2025,1,"Candida auris, clinical",,-,3.0,,,-,,-,Iowa,,-93.61539,41.58981
Kansas,2025,1,"Candida auris, clinical",,-,0.0,,,-,,-,Kansas,,-95.67119,39.04931
Minnesota,2025,1,"Candida auris, clinical",,-,0.0,,,-,,-,Minnesota,,-93.09649,44.94339
Missouri,2025,1,"Candida auris, clinical",,-,0.0,,,-,,-,Missouri,,-92.17785,38.57751
Nebraska,2025,1,"Candida auris, clinical",,-,0.0,,,-,,-,Nebraska,,-96.70731,40.81362
North Dakota,2025,1,"Candida auris, clinical",,-,1.0,,,-,1.0,,North Dakota,,-100.7797,46.80536
South Dakota,2025,1,"Candida auris, clinical",,-,0.0,,,-,,-,South Dakota,,-100.34987,44.36917
South Atlantic,2025,1,"Candida auris, clinical",1.0,,33.0,,1.0,,18.0,,,South Atlantic,-100.34987,44.36917
Delaware,2025,1,"Candida auris, clinical",,-,2.0,,,-,1.0,,Delaware,,-75.52474,39.15803
District of Columbia,2025,1,"Candida auris, clinical",,-,0.0,,,-,,-,District of Columbia,,,
Florida,2025,1,"Candida auris, clinical",,N,,NC,,N,,N,Florida,,-84.28065,30.43977
Georgia,2025,1,"Candida auris, clinical",,-,25.0,,,-,15.0,,Georgia,,-84.39111,33.74831
Maryland,2025,1,"Candida auris, clinical",,-,7.0,,,-,,-,Maryland,,-76.49015,38.97678
North Carolina,2025,1,"Candida auris, clinical",,-,1.0,,,-,1.0,,North Carolina,,-78.6427,35.78547
South Carolina,2025,1,"Candida auris, clinical",,-,0.0,,,-,,-,South Carolina,,-81.04537,33.99882
Virginia,2025,1,"Candida auris, clinical",1.0,,9.0,,1.0,,1.0,,Virginia,,-77.43367,37.54068
West Virginia,2025,1,"Candida auris, clinical",,-,1.0,,,-,,-,West Virginia,,-81.63896,38.35016
East South Central,2025,1,"Candida auris, clinical",,-,38.0,,,-,,-,,East South Central,,
Alabama,2025,1,"Candida auris, clinical",,N,,NC,,N,,N,Alabama,,-86.30006,32.38015
Kentucky,2025,1,"Candida auris, clinical",,-,0.0,,,-,,-,Kentucky,,-84.8787,38.19507
Mississippi,2025,1,"Candida auris, clinical",,-,0.0,,,-,,-,Mississippi,,-90.18045,32.29896
Tennessee,2025,1,"Candida auris, clinical",,-,38.0,,,-,,-,Tennessee,,-86.77817,36.16784
West South Central,2025,1,"Candida auris, clinical",,-,30.0,,,-,4.0,,,West South Central,,
Arkansas,2025,1,"Candida auris, clinical",,-,0.0,,,-,,-,Arkansas,,-92.27486,34.7487
Louisiana,2025,1,"Candida auris, clinical",,-,6.0,,,-,1.0,,Louisiana,,-91.18665,30.44335
Oklahoma,2025,1,"Candida auris, clinical",,-,0.0,,,-,,-,Oklahoma,,-97.52107,35.47203
Texas,2025,1,"Candida auris, clinical",,-,27.0,,,-,3.0,,Texas,,-97.743,30.26759
Mountain,2025,1,"Candida auris, clinical",24.0,,84.0,,24.0,,16.0,,,Mountain,,
Arizona,2025,1,"Candida auris, clinical",5.0,,7.0,,5.0,,4.0,,Arizona,,-112.07581,33.44825
Colorado,2025,1,"Candida auris, clinical",,-,1.0,,,-,,-,Colorado,,-104.99203,39.74001
Idaho,2025,1,"Candida auris, clinical",,-,0.0,,,-,,-,Idaho,,-116.19341,43.60764
Montana,2025,1,"Candida auris, clinical",,-,0.0,,,-,,-,Montana,,-112.02066,46.58976
Nevada,2025,1,"Candida auris, clinical",19.0,,81.0,,19.0,,12.0,,Nevada,,-119.76698,39.16505
New Mexico,2025,1,"Candida auris, clinical",,-,2.0,,,-,,-,New Mexico,,-105.93825,35.69177
Utah,2025,1,"Candida auris, clinical",,-,1.0,,,-,,-,Utah,,-111.88822,40.76031
Wyoming,2025,1,"Candida auris, clinical",,-,0.0,,,-,,-,Wyoming,,-104.82155,41.13481
Pacific,2025,1,"Candida auris, clinical",2.0,,51.0,,2.0,,21.0,,,Pacific,,
Alaska,2025,1,"Candida auris, clinical",,-,0.0,,,-,,-,Alaska,,-134.4068,58.29973
California,2025,1,"Candida auris, clinical",2.0,,51.0,,2.0,,21.0,,California,,-121.49086,38.57944
Hawaii,2025,1,"Candida auris, clinical",,-,0.0,,,-,,-,Hawaii,,-157.85788,21.30493
Oregon,2025,1,"Candida auris, clinical",,-,2.0,,,-,,-,Oregon,,-123.04382,44.93326
Washington,2025,1,"Candida auris, clinical",,-,2.0,,,-,,-,Washington,,-122.89167,47.03956
U.S. Territories,2025,1,"Candida auris, clinical",,-,0.0,,,-,,-,,U.S. Territories,,
American Samoa,2025,1,"Candida auris, clinical",,-,0.0,,,-,,-,American Samoa,,,
Commonwealth of Northern Mariana Islands,2025,1,"Candida auris, clinical",,-,0.0,,,-,,-,Commonwealth of Northern Mariana Islands,,,
Guam,2025,1,"Candida auris, clinical",,-,0.0,,,-,,-,Guam,,,
Puerto Rico,2025,1,"Candida auris, clinical",,-,0.0,,,-,,-,Puerto Rico,,-66.11692,18.46536
U.S. Virgin Islands,2025,1,"Candida auris, clinical",,-,0.0,,,-,,-,U.S. Virgin Islands,,,
Non-U.S. Residents,2025,1,"Candida auris, clinical",,-,0.0,,,-,,-,,Non-U.S. Residents,,
Total,2025,1,"Candida auris, clinical",34.0,,195.0,,34.0,,84.0,,,Total,,
U.S. Residents,2025,1,"Carbapenemase-Producing Organisms (CPO), Total",17.0,,155.0,,17.0,,65.0,,,U.S. Residents,,
New England,2025,1,"Carbapenemase-Producing Organisms (CPO), Total",,-,8.0,,,-,1.0,,,New England,,
Connecticut,2025,1,"Carbapenemase-Producing Organisms (CPO), Total",,-,0.0,,,-,,-,Connecticut,,-72.67398,41.76381
Maine,2025,1,"Carbapenemase-Producing Organisms (CPO), Total",,-,2.0,,,-,,-,Maine,,-69.77631,44.31804
