jurisdiction,population,vintage
"Alabama",5157699,2024
"Alaska",740133,2024
"Arizona",7582384,2024
"Arkansas",3088354,2024
"California",39431263,2024
"Colorado",5957493,2024
"Connecticut",3675069,2024
"Delaware",1051917,2024
"District of Columbia",702250,2024
"Florida",23372215,2024
"Georgia",11180878,2024
"Hawaii",1446146,2024
"Idaho",2001619,2024
"Illinois",12710158,2024
"Indiana",6924275,2024
"Iowa",3241488,2024
"Kansas",2970606,2024
"Kentucky",4588372,2024
"Louisiana",4597740,2024
"Maine",1405012,2024
"Maryland",6263220,2024
"Massachusetts",7136171,2024
"Michigan",10140459,2024
"Minnesota",5793151,2024
"Mississippi",2943045,2024
"Missouri",6245466,2024
"Montana",1137233,2024
"Nebraska",2005465,2024
"Nevada",3267467,2024
"New Hampshire",1409032,2024
"New Jersey",9500851,2024
"New Mexico",2130256,2024
"New York",19867248,2024
"North Carolina",11046024,2024
"North Dakota",796568,2024
"Ohio",11883304,2024
"Oklahoma",4095393,2024
"Oregon",4272371,2024
"Pennsylvania",13078751,2024
"Puerto Rico",3203295,2024
"Rhode Island",1112308,2024
"South Carolina",5478831,2024
"South Dakota",924669,2024
"Tennessee",7227750,2024
"Texas",31290831,2024
"Utah",3503613,2024
"Vermont",648493,2024
"Virginia",8811195,2024
"Washington",7958180,2024
"West Virginia",1769979,2024
"Wisconsin",5960975,2024
"Wyoming",587618,2024
